"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"emp12","Business Start ups by Ethnicity - BME","0.62 %","Percentage","2011/2012","2011-04-01","2012-03-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.20 %","Percentage","2012/2013","2012-04-01","2013-03-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.24 %","Percentage","2013/2014","2013-04-01","2014-03-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.62 %","Percentage","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.09 %","Percentage","2014/2015","2014-04-01","2015-03-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.00 %","Percentage","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.43 %","Percentage","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.62 %","Percentage","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.33 %","Percentage","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.46 %","Percentage","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.38 %","Percentage","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.33 %","Percentage","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.42 %","Percentage","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.35 %","Percentage","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.38 %","Percentage","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.35 %","Percentage","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.09 %","Percentage","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"emp12","Business Start ups by Ethnicity - BME","0.09 %","Percentage","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
