"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2008/2009_Q1","2008-04-01","2008-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.40 %","Percentage","2008/2009_Q2","2008-07-01","2008-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.10 %","Percentage","2008/2009_Q3","2008-10-01","2008-12-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.20 %","Percentage","2008/2009_Q4","2009-01-01","2009-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.30 %","Percentage","2009/2010","2009-04-01","2010-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.20 %","Percentage","2009/2010_Q1","2009-04-01","2009-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.20 %","Percentage","2009/2010_Q2","2009-07-01","2009-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.40 %","Percentage","2009/2010_Q3","2009-10-01","2009-12-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.30 %","Percentage","2009/2010_Q4","2010-01-01","2010-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.10 %","Percentage","2010/2011_Q1","2010-04-01","2010-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.30 %","Percentage","2010/2011","2010-04-01","2011-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.30 %","Percentage","2010/2011_Q2","2010-07-01","2010-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.40 %","Percentage","2010/2011_Q3","2010-10-01","2010-12-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.30 %","Percentage","2010/2011_Q4","2011-01-01","2011-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.30 %","Percentage","2010/2011_Mar","2011-03-01","2011-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.90 %","Percentage","2011/2012","2011-04-01","2012-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.40 %","Percentage","2011/2012_Q1","2011-04-01","2011-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.40 %","Percentage","2011/2012_Jun","2011-06-01","2011-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2011/2012_Q2","2011-07-01","2011-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.60 %","Percentage","2011/2012_Sep","2011-09-01","2011-09-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2011/2012_Q3","2011-10-01","2011-12-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2011/2012_Dec","2011-12-01","2011-12-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.90 %","Percentage","2011/2012_Q4","2012-01-01","2012-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.90 %","Percentage","2011/2012_Mar","2012-03-01","2012-03-31","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2012/2013_Q1","2012-04-01","2012-06-30","Quarterly"
"CJGE03","York’s unemployment rate below the national","1.70 %","Percentage","2012/2013","2012-04-01","2013-03-31","Quarterly"
