"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CJGE170","Housing affordability (house prices to earnings ratio)","6.78 Number","Number","2012/2013","2012-04-01","2013-03-31","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","7.02 Number","Number","2012/2013_Q1","2012-04-01","2012-06-30","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","6.95 Number","Number","2012/2013_Q2","2012-07-01","2012-09-30","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","6.81 Number","Number","2012/2013_Q3","2012-10-01","2012-12-31","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","7.05 Number","Number","2012/2013_Q4","2013-01-01","2013-03-31","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","6.80 Number","Number","2013/2014","2013-04-01","2014-03-31","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","6.94 Number","Number","2013/2014_Q1","2013-04-01","2013-06-30","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","7.24 Number","Number","2013/2014_Q2","2013-07-01","2013-09-30","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","7.23 Number","Number","2013/2014_Q3","2013-10-01","2013-12-31","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","7.49 Number","Number","2013/2014_Q4","2014-01-01","2014-03-31","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","7.66 Number","Number","2014/2015","2014-04-01","2015-03-31","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","7.79 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","7.91 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","8.19 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","8.35 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","8.25 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","8.44 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Quarterly"
"CJGE170","Housing affordability (house prices to earnings ratio)","8.25 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Quarterly"
