X,Y,MonUID,RecordType,Name,MonType,GatewayURL,ESRI_OID
-1.0848831957,53.9608264134,MYO1,MON,Eboracum,TOWN,http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO1,1
-1.092262982,53.923083588300003,MYO10,MON,,MOAT,http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO10,2
-1.0794986653,53.958543360500002,MYO1000,BLD,THE GOLDEN FLEECE PUBLIC HOUSE AND ATTACHED OUTBUILDING AT REAR,"PUBLIC HOUSE; PUBLIC HOUSE; OUTBUILDING",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO1000,3
-1.0795103424,53.9587052388,MYO1001,BLD,18-20 Pavement,"HOUSE; PUBLIC HOUSE; SHOP; OFFICE",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO1001,4
-1.0793728048,53.958722162299999,MYO1002,BLD,24 Pavement,"HOUSE; SHOP; SHOP; SHOP",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO1002,5
-1.07929463,53.958811443099997,MYO1003,BLD,26-28 Pavement,"HOUSE; HOUSE; SHOP; OFFICE",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO1003,6
-1.0806646644,53.958192765900002,MYO1004,BLD,CHURCH OF ALL SAINTS PAVEMENT,"PARISH CHURCH; PARISH CHURCH; COMMEMORATIVE MONUMENT; COMMEMORATIVE MONUMENT; PARISH CHURCH; COMMEMORATIVE BRASS; COMMEMORATIVE BRASS; PARISH CHURCH; COMMEMORATIVE MONUMENT; COMMEMORATIVE MONUMENT; PARISH CHURCH; COMMEMORATIVE MONUMENT; COMMEMORATIVE MONUMENT; COMMEMORATIVE MONUMENT; COMMEMORATIVE MONUMENT; COMMEMORATIVE MONUMENT; COMMEMORATIVE MONUMENT; PARISH CHURCH; COMMEMORATIVE MONUMENT",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO1004,7
-1.0809666895,53.959012991,MYO1005,BLD,,"HOUSE; SHOP; PUBLIC HOUSE; SHOP; SHOP",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO1005,8
-1.0807998593,53.958975760100003,MYO1006,BLD,,"SHOP; HOUSE; HOUSE; SHOP; SHOP",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO1006,9
-1.0808619918,53.958922309599998,MYO1007,BLD,,"SHOP; HOUSE; HOUSE; SHOP; SHOP",http://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?resourceID=1003&uid=MYO1007,10
