OBJECTID,SITE_ID,X,Y,ADDRESS_1,ADDRESS_2,ADDRESS_3,POST_CODE,KNOWN_AS,GlobalID
3780,YK1135,460965.1645,452542.6985,Heworth Green,Eboracum,,YO31,,{63D47AB4-D116-4A7E-921F-2D89B530B170}
361,YK1008,460513.9074,451830.6613,The Stonebow,Whip-Ma-Whop-Ma-Gate,,YO1 8BL,,{AB17DC62-D210-4B38-8B20-DDA371DC81B4}
387,YP1504,457587.3326,454545.1841,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{7164849D-8705-43B3-B4F7-7D3002EC546E}
647,YP1501,457520.5077,454724.9521,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{71CC9E1F-D5AD-4483-96C8-749CB5460052}
427,YP1503,457678.8833,454615.0893,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{09CD35F9-E7BE-4238-8B62-AFF74A41DA10}
330,YK1010,460281.4645,451899.9827,Davygate,,,,,{2B60EC9B-8CB5-4657-89BE-43163F807035}
344,YK1124,463998,452318,Outgang Lane,nr Travellers Site,,YO19 6UZ,,{43AD38B5-A4F2-4635-BA22-C15BCEFF9614}
335,YK1018,460852.5067,452109.5258,Foss Islands Road,Layerthorpe Bridge,,,,{0D4C8B80-CFD4-4DC7-9359-71C79CC62FB9}
338,YP1108,457886,448315,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{B5B0EB5F-B47F-4B61-9DD8-C3965F524916}
357,YK1129,460457,451835,Shambles Market,,,YO1 7LX,,{22EB9857-0248-450F-9B66-67E4E4949DE3}
347,YK1078,457571.873,454891.3316,A1237,A19 Roundabout North,,,,{6630313E-7826-4220-B24C-85F6B1CF8729}
376,YP1403,455705.6666,453299.8266,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{E301D7B3-C420-4108-A29B-3F4BCDA946C5}
365,YK1013,460441.0464,451762.2208,Pavement,Picadilly,,YO1 8RU,,{C3D1A067-C853-42C9-85E0-E8D636AE75CE}
364,YK1045,460164.5451,452621.283,Union Terrace Car Park,(002),,,,{57C454F0-85C3-40A4-A43B-90FB7BC7C095}
354,YP1506,457558.4583,454794.6792,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{B4138F9F-A7F7-41EE-A40A-97BAD6B0E035}
355,YP1505,457488.5573,454694.5727,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{FD78B75D-FABD-4033-B2C7-6DF0DC9D7DC7}
491,YP1203,464390.849,451353.4786,Grimston Bar Park & Ride,Hull Road,,YO19 5LA,,{72D43484-6A04-4065-89F8-15156E4EBBB9}
475,YK1064,461420.8067,448003.1795,Fulford Interchange South,,,,,{F268FEEB-2559-41C5-B497-FC4633B14C5D}
504,YP1509,457635.9228,454597.833,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{224D68C3-5437-42F4-88B5-FA79802E865E}
538,YK1099,460313.7742,453466.0063,Wigginton Road,Crichton Avenue,,YO31 8HH,,{430C22B1-239D-4ED4-99CD-A6DBBC054C59}
529,YK1026,460518.7794,452004.823,St. Andrew Gate,King's Square,,,,{276738D3-E028-4681-83E6-3722D6AAA22E}
515,YP110B,457889,448318,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{70A7B0FA-AA21-4340-A7A7-83AFBD773661}
528,YK1035,460225.4108,452028.7642,Stonegate,,,,,{B94E7BBA-3AC8-4499-91E7-2E9577EEA8B8}
401,YP1507,457562.1074,454795.3783,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{683A0CEC-CE82-4FCD-A65A-F4C3E4487C58}
417,YP1508,457663.9833,454764.8829,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{146D3196-5812-4C0E-98C2-1D408F6A008A}
460,YK1097,457796.9396,454672.1391,Shipton Road,P&R Access,,YO30 5RZ,,{94AE1532-9A75-4FFA-A564-D3AB25BAD526}
459,YK1506,459876.807,451739.044,CYC West Offices,Main Building North Side,External,YO1 6GA,Looking at Tanner rd Gate,{7DE0A655-70A0-41FD-88FD-8A5CD3202A71}
