X,Y,OBJECTID,Group_,Address_1,Address_2,Town,Postcode,opening_ho,Saturday,Sunday,Ward
-1.141175725692451,53.915597652189568,45,Copmanthorpe Surgery,Copmanthorpe Surgery,"Unit 5, The Shopping Precinct, Main Street, Copmanthorpe",York,YO23 3GG,"Mon/Tues/Wed/Fri 8:30am - 12pm, Mon 3pm - 6pm, Thurs 3:15pm - 6pm",Closed,Closed,00FFxx1
-0.979574936428686,53.965312870596115,46,Mental Health Day Services,Dunnington Surgery,"Petercroft Lane, Dunnington",York,YO19 5NQ,"Mon/Wed/Thurs 8:30am - 6pm, Tues/Fri 8:30am - 12pm",Closed,Closed,00FFxx3
-1.134935446750874,54.000541391257833,36, ,Skelton Surgery,"St Giles Road, Skelton",York,YO30 1XR,"Mon 2:30pm - 6pm, Tues 8:30am - 12pm, Fri 2:30pm - 6pm",,Closed,00FFPA
-1.103229373971655,53.944852923159523,40,York Clinic,York Clinic,296 Tadcaster Road,York,YO24 1ET,Mon-Fri 9am - 6pm,9am - 2pm,Closed,00FFNL
-1.127303346352216,53.954142758991843,19,Independant surgerys,Front Street Surgery,14 Front Street,York,YO24 3BZ,"Mon/Thurs 8am - 7:30pm, Tues/Wed 8am - 6pm, Fri 7am - 6pm",Closed,Closed,00FFPD
-1.094452689844109,53.971069596796355,20,York Medical Group,Waterlane Practice,Waterlane,York,YO30 6PS,"Mon/Wed 8am - 6pm, Thurs 8am - 7:30pm, Fri 7:30am - 6pm",8am - 1pm,Closed,00FFNJ
-1.075245351053689,53.946907805534401,5, ,Unity Health,18 Wenlock Terrace,York,YO10 4DU,8am - 6pm,Closed,Closed,00FFNM
-1.033697482390053,54.039013275769911,15,Independant surgerys,My Health Group,Southfields Road,York,YO32 5UA,"Mon 8am - 7:30pm, Tues-Fri 8am - 6pm",8:30am - 10:30am,Closed,00FFPC
-1.062673907233186,53.978535423103544,14,Priory Medical Group,Victoria Way Surgery,"2 Victoria Way, Huntington",York,YO32 9GE,8:30am - 6pm,Closed,Closed,00FFNX
-1.048297740072467,53.956543135404516,13,Priory Medical Group,Tang Hall Lane Surgery,190 Tang Hall Lane,York,YO10 3RL,8:30am - 6pm,Closed,Closed,00FFNW
-1.055761503852715,53.954565469609939,12,Priory Medical Group,Park View Surgery,"28 Millfield Ave, Hull Road",York,YO10 3AB,8:30am - 6pm,Closed,Closed,00FFNW
-1.073859783546192,53.93804977768923,11,Priory Medical Group,Fulford Surgery,"2 Fulford Park, Fulford",York,YO10 4QE,8:30am - 6pm,Closed,Closed,00FFxx2
-1.06881989244396,53.966459991385832,10,Priory Medical Group,Heworth Green Surgery,"45 Heworth Green, Heworth",York,YO31 7SX,"Mon-Thurs 8:30am - 8pm, Fri 8:30am - 6pm. Evenings (6:30pm - 8pm) open for pre-booked appointments only
",Closed,Closed,00FFNS
