X,Y,OBJECTID_1,LOCATION,TYPE
-1.122869240727155,53.984288871804402,1,Rawcliffe Bar Park and Ride,Park and Ride
-1.084499939895886,53.959606952127203,2,Zone 8 - 12 Coney St Wall mount Lamp,City Connect
-1.139775323678705,53.95423662957171,3,Sandersons Court,BDUK
-1.08038636635041,53.959776679063538,4,Zone 12 - 47 Shambles Wall mount Lamp,City Connect
-1.080206577263768,53.957208064620723,5,Castlegate,BDUK
-1.080307880793974,53.958439346141326,6,Zone 6 - 1 Parliament St CCTV Pole,City Connect
-1.079623684204597,53.961854542782483,7,Zone 11 - 34 Goodramsgate Lamppost,City Connect
-1.088138215894572,53.964181087683087,8,Registrars,Corporate
-1.084140911922491,53.960346413950354,9,Zone 8 - 1 Stonegate Wall mount Lamp,City Connect
-1.057945186846643,53.959845413826194,10,Tang Hall Community Centre,BDUK
-1.080697561176122,53.959622894105131,11,Zone 12 - 10 Newgate Wall mount Lamp,City Connect
-1.116969983085244,53.928838453550206,12,Askham Bar Park and Ride,Park and Ride
-1.086600840315512,53.95285055312366,13,Barstow House,BDUK
-1.084802540755147,53.960058564780041,14,Zone 8 - 22 Lendl Wall mount Lamp,City Connect
-1.082495358950199,53.966327198171335,15,Sycamore House,Corporate
-1.06037865492467,53.978771886566506,16,68 Centre,BDUK
-1.112143044114403,53.932668919152285,17,Yorkcraft,Corporate
-1.084461825428455,53.957283933665153,18,Zone 1 - 1 Bridge St Wall mount Lamp,City Connect
-1.070400364223161,53.937081755960108,19,Fulford Library,Libraries
-1.090012963975893,53.974220728683441,20,Marjorie Waitie Court,BDUK
-1.089390741427781,53.958749869078218,21,Zone 2 - Cedar Court Lamppost,City Connect
-1.089843478958147,53.9583349701091,22,Zone 2 - Station Rise (West Offices),City Connect
-1.080907157452681,53.958526299282774,23,Zone 6 - 8 Parliament St Wall mount Lamp,City Connect
-0.980215017249403,53.965288274330099,24,Dunnington Library,Libraries
-1.080109403840305,53.96190101689016,25,Zone 11 - Deangate Lamppost,City Connect
-1.082302858452396,53.957861248735298,26,Zone 7 - 1 Nessgate Wall mount Lamp,City Connect
-1.091467310803667,53.958565828851029,27,Zone 3 - Royal York Hotel Lamppost,City Connect
-1.087487978029214,53.95875454854616,28,Rougier House,Corporate
-1.073017238052556,53.992326220373592,29,New Earswick Library,Libraries
-1.082069255424203,53.959446947733269,30,Zone 6 - 21 Davygate CCTV Camera mount,City Connect
-1.081930106155772,53.960405808330506,31,Zone 10 - 14 Swinegate CCTV Camera Mount,City Connect
-1.080132966394234,53.95948416634792,32,Zone 12 - 13 Shambles Wall mount Lamp,City Connect
-1.085476291140625,53.959689482935985,33,Guidhall,Corporate
-1.084612349402432,53.960631042674052,34,Zone 5 - 14 Blake St Wall mount Lamp,City Connect
-1.08647326089927,53.960666802641903,35,Zone 4 - Museum St/Lendl Lamppost,City Connect
-1.052190636404706,53.982914782325423,36,Monks Cross Park and Ride,Park and Ride
-1.089523993336662,53.961328621574282,37,Zone 14 - Museum Gardens,City Connect
-1.074083670387507,53.951687496319877,38,Melbourne Centre,BDUK
-1.084735902735866,53.959926350718611,39,Zone 8 - Mansion House Rooftop,City Connect
-1.071751077759561,53.954650491446642,40,Willow House,EPH
-1.08647138102034,53.957223524453724,41,Zone 1 - 39 Micklegate Wall mount Lamp,City Connect
-1.083619553059368,53.958700396749421,42,Zone 8 - 23 Coney St Wall mount Lamp,City Connect
-1.064095576052484,53.959125831939161,43,Hazel Court,Corporate
-1.120278130032605,53.948308007578468,44,Windsor House,EPH
-1.087705993002251,53.959539749691878,45,Zone 2 - Tanners Moat Lamppost,City Connect
-1.12083208712215,53.938518414941043,46,Honeysuckle House,BDUK
-1.079669377605166,53.958861461415779,47,Zone 13 - 20 Pavement Lamppost,City Connect
-1.12931759036197,53.953655184485761,48,Acomb Library,Libraries
-1.149804356108995,53.973057693977815,49,Poppleton Bar Park and Ride,Park and Ride
-1.154041877649204,53.984122723779571,50,Poppleton Library,Libraries
-1.08170411154968,53.959114214356951,51,Zone 6 - 15 Parliament St Wall mount Lamp,City Connect
-1.129793937535654,53.940764688356751,52,Foxwood Community Centre,BDUK
-1.019449259233882,53.954571445775123,53,Grimston Bar Park and Ride,Park and Ride
-1.113061445715771,53.952402338434133,54,Nursey Drive,Corporate
-1.059280339190978,53.959893895734616,55,Alex Lyon House,BDUK
-1.08228594920687,53.958644370320776,56,Zone 7 - 13 Market St Wall mount Lamp,City Connect
-1.08257490076034,53.954780140246264,57,City Mills,BDUK
-1.042262958576329,53.954439798186876,58,Woolnough House,EPH
-1.082436705911774,53.961765049260265,59,Zone 4 - Minster Yard (Left of Minster) lamppost,City Connect
-1.08108012920791,53.959377237916037,60,Zone 12 - Silver St Wall mount Lamp,City Connect
-0.981409168739248,53.965378375126143,61,The Glebe,BDUK
-1.079133767714782,53.959132586573311,62,Zone 13 - 1 St Saviourgate CCTV Pole,City Connect
-1.084976523938241,53.95720598683301,63,Zone 1 - 13 Bridge St Wall mount Lamp,City Connect
-1.080001085711591,53.960660557525379,64,Zone 11 - 65 Goodramsgate Wall mount Lamp,City Connect
-1.080402101478567,53.959800982759987,65,Kings Court,Corporate
-1.088633556921317,53.959123815588264,66,Zone 2 - 2 Rougier St Lamppost,City Connect
-1.071421738106266,54.015686021329813,67,Haxby Hall,EPH
-1.112504242667983,53.961450779555058,68,Poppleton Memorial Hall,BDUK
-1.106520090710854,53.977928334266025,69,Clifton Library,Libraries
-1.089057959809181,53.952875429609492,70,Clements Hall Community Centre,BDUK
-1.055858858881655,53.995408083894311,71,Huntington Library,Libraries
-1.083737843302443,53.962009150242402,72,Zone 4 - Duncombe Place lamppost,City Connect
-1.081683572768793,53.957502604803622,73,Zone 7 - 1 Coppergate CCTV Pole,City Connect
-1.048893478372792,53.960369800183933,74,Tang Hall Library,Libraries
-1.071468565247239,54.017534747719566,75,Oaken Grove Community Centre,BDUK
-1.082730063019878,53.948808853323612,76,Rowntrees Park Cafe,Libraries
-1.088040332880497,53.961166705532598,77,Zone 14 - Museum Gardens,City Connect
-1.089794273663016,53.974390602349473,78,Burtonstone Community Centre,BDUK
-1.092112317500442,53.9578788492664,79,Zone 3 - York Stn Lamppost,City Connect
-1.067968578781069,53.977552427061127,80,Bell Farm Community Centre,BDUK
-1.081895775287262,53.960901460682386,81,Zone 9 - 6 Grape Lane Wall mount Bracket,City Connect
-1.086624848379746,53.960773811692185,82,Zone 14 - Museum Gardens,City Connect
-1.075211334418276,53.946142677983964,83,Ordance Lane,BDUK
-1.087798799313071,53.961899571599467,84,Zone 14 - Museum Gardens,City Connect
-1.089652947283706,53.958224982645504,85,West Offices,Corporate
-1.082478761458534,53.959492661242123,86,Zone 5 - 26 Davygate Wall mount Lamp,City Connect
-1.04905288664923,53.964104892841327,87,Eccles centre,Corporate
-1.077903765433346,53.965859014535539,88,Grove House,EPH
-1.12165352885707,53.938569849347772,89,Moorlane Youth Centre,BDUK
-1.141207389753348,53.915428841437873,90,Compmanthorpe Library,Libraries
-1.084115642107124,53.960148879469486,91,Zone 5 - 1 Davygate CCTV Pole,City Connect
-1.081653532660484,53.961209650387708,92,Zone 9 - 54 Low Petergate Wall mount Lamp,City Connect
-1.079788758103021,53.958591089627888,93,Zone 13 - 10 Pavement Wall mount Lamp,City Connect
-1.072916828478203,53.934272710104317,94,Delwood,BDUK
-1.086193948197957,53.961398876021164,95,York Explore,Libraries
-1.082983507747363,53.95827605492299,96,Zone 7 - 4 Spurriergate CCTV Camera mount,City Connect
-1.107715254668178,53.939154147103821,97,Dringhouses Library,Libraries
-1.079896212781857,53.959080199954478,98,Zone 12 - 23 Shambles Wall mount Lamp,City Connect
-1.119054022334323,53.956313323367894,99,Oakhaven,EPH
-1.084413026912415,53.979184079750965,100,Morrell House,EPH
-1.07717876133866,53.924012342203248,101,Designer Outlet Park and Ride,Park and Ride
-1.086674015324358,53.960766160815048,102,Zone 14 - Museum Gardens,City Connect
-1.120789268932427,53.94847597731723,103,Lincoln Court,BDUK
-1.090212146731756,53.95923216979542,104,Zone 3 - Stn Rise/Stn Ave CCTV Pole,City Connect
-1.084240748390837,53.959235684786748,105,Zone 8 - 15 Coney St Wall mount Lamp,City Connect
-1.035701072067208,54.039952515313324,106,Strensall Library,Libraries
-1.12877458457278,53.947984367059618,107,Energise,Corporate
-1.082289537064528,53.96145769599304,108,Zone 9 - 2 Minster Yard Lamppost,City Connect
-1.083533487568627,53.960738314209472,109,Zone 10 - 28 Stonegate CCTV Camera Mount,City Connect
-1.082706810324922,53.960153721567934,110,Zone 10 - 28 Stonegate CCTV Camera Mount,City Connect
-1.068747185150321,54.015970224537043,111,Haxby Libraary,Libraries
-1.087963738841089,53.961159532450523,112,Zone 14 - Museum Gardens,City Connect
-1.123438623474755,53.942179191853505,113,Lovel House,BDUK
-1.081602356529749,53.961641586936032,114,Zone 4 - Minster Yard (Right of Minster) lamppost,City Connect
-1.079290137117023,53.961991613902825,115,Zone 11 - 27 Goodramsgate Wall mount Lamp,City Connect
-1.084998876854357,53.961351743946913,116,Zone 4 - 1 Museum St Lamppost,City Connect
-1.08336649154623,53.959810374000568,117,Zone 5 - 15 Davygate Wall mount Lamp,City Connect
-1.088007045209293,53.956058123848571,118,Priory Street,BDUK
-1.082498438671731,53.951456849675033,119,Clementhorpe Community Centre,BDUK
-1.082140117333345,53.957553776120101,120,Zone 7 - 6 Nessgate Wall mount Lamp,City Connect
-1.08035865463348,53.960318702634765,121,Zone 10 - 1 Kings Square CCTV Camera Mount,City Connect
