"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CJGE71","Employment Rate (Male)","75.60 %","Percentage","2010/2011","2010-04-01","2011-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.60 %","Percentage","2010/2011_Q4","2011-01-01","2011-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.60 %","Percentage","2010/2011_Mar","2011-03-01","2011-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.80 %","Percentage","2011/2012","2011-04-01","2012-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","76.50 %","Percentage","2011/2012_Q1","2011-04-01","2011-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","76.50 %","Percentage","2011/2012_Jun","2011-06-01","2011-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","76.40 %","Percentage","2011/2012_Q2","2011-07-01","2011-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","76.40 %","Percentage","2011/2012_Sep","2011-09-01","2011-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","74.40 %","Percentage","2011/2012_Q3","2011-10-01","2011-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","74.40 %","Percentage","2011/2012_Dec","2011-12-01","2011-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.80 %","Percentage","2011/2012_Q4","2012-01-01","2012-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.80 %","Percentage","2011/2012_Mar","2012-03-01","2012-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","77.50 %","Percentage","2012/2013_Q1","2012-04-01","2012-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","76.70 %","Percentage","2012/2013","2012-04-01","2013-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","77.50 %","Percentage","2012/2013_Jun","2012-06-01","2012-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","79.90 %","Percentage","2012/2013_Q2","2012-07-01","2012-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","79.90 %","Percentage","2012/2013_Sep","2012-09-01","2012-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","80.70 %","Percentage","2012/2013_Q3","2012-10-01","2012-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.70 %","Percentage","2012/2013_Dec","2012-12-01","2012-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","76.70 %","Percentage","2012/2013_Q4","2013-01-01","2013-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","76.70 %","Percentage","2012/2013_Mar","2013-03-01","2013-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.10 %","Percentage","2013/2014","2013-04-01","2014-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.70 %","Percentage","2013/2014_Q1","2013-04-01","2013-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","75.70 %","Percentage","2013/2014_Jun","2013-06-01","2013-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","76.30 %","Percentage","2013/2014_Q2","2013-07-01","2013-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","76.30 %","Percentage","2013/2014_Sep","2013-09-01","2013-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","80.70 %","Percentage","2013/2014_Q3","2013-10-01","2013-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.70 %","Percentage","2013/2014_Dec","2013-12-01","2013-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.10 %","Percentage","2013/2014_Q4","2014-01-01","2014-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.10 %","Percentage","2013/2014_Mar","2014-03-01","2014-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","77.90 %","Percentage","2014/2015","2014-04-01","2015-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.80 %","Percentage","2014/2015_Q1","2014-04-01","2014-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","75.80 %","Percentage","2014/2015_Jun","2014-06-01","2014-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","74.40 %","Percentage","2014/2015_Q2","2014-07-01","2014-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","74.40 %","Percentage","2014/2015_Sep","2014-09-01","2014-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","75.60 %","Percentage","2014/2015_Q3","2014-10-01","2014-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","75.60 %","Percentage","2014/2015_Dec","2014-12-01","2014-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","77.90 %","Percentage","2014/2015_Q4","2015-01-01","2015-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","77.90 %","Percentage","2014/2015_Mar","2015-03-01","2015-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.00 %","Percentage","2015/2016","2015-04-01","2016-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","77.40 %","Percentage","2015/2016_Q1","2015-04-01","2015-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","77.40 %","Percentage","2015/2016_Jun","2015-06-01","2015-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","79.10 %","Percentage","2015/2016_Q2","2015-07-01","2015-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","79.10 %","Percentage","2015/2016_Sep","2015-09-01","2015-09-30","Quarterly"
"CJGE71","Employment Rate (Male)","80.30 %","Percentage","2015/2016_Q3","2015-10-01","2015-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.30 %","Percentage","2015/2016_Dec","2015-12-01","2015-12-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.00 %","Percentage","2015/2016_Q4","2016-01-01","2016-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.00 %","Percentage","2015/2016_Mar","2016-03-01","2016-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.00 %","Percentage","2016/2017","2016-04-01","2017-03-31","Quarterly"
"CJGE71","Employment Rate (Male)","80.90 %","Percentage","2016/2017_Q1","2016-04-01","2016-06-30","Quarterly"
"CJGE71","Employment Rate (Male)","80.90 %","Percentage","2016/2017_Jun","2016-06-01","2016-06-30","Quarterly"
